author,category,comment_count,country,date,img_title,title,url
Colin McGourty,category,3,,"Nov 10, 2014 | 1:55 PM",,"Tkachiev on Carlsen-Anand, Game 1: Hotchpotch",https://chess24.com/en/read/news/tkachiev-on-carlsen-anand-game-1-hotchpotch
David Martínez,category,7,,"Apr 26, 2015 | 3:30 PM",,Kasparov takes the lead against Short,https://chess24.com/en/read/news/kasparov-takes-the-lead-against-short
Ilja Zaragatski,category,8,,"Feb 5, 2015 | 5:22 PM",,Grenke Classic Halftime Highlights,https://chess24.com/en/read/news/grenke-classic-halftime-highlights
Colin McGourty,category,2,,"Feb 4, 2015 | 12:19 PM",,Gibraltar Masters 7-8: Nakamura closes on title,https://chess24.com/en/read/news/gibraltar-masters-7-8-nakamura-closes-on-title
Colin McGourty,category,2,,"Feb 6, 2015 | 4:35 PM",,Gibraltar Masters: Nakamura and Hou Yifan triumph,https://chess24.com/en/read/news/gibraltar-masters-nakamura-and-hou-yifan-triumph
Colin McGourty,category,5,,"Feb 5, 2015 | 12:06 AM",,GRENKE Classic 3: Magnus Jobava falls to Naiditsch,https://chess24.com/en/read/news/grenke-classic-3-magnus-jobava-falls-to-naiditsch
Colin McGourty,category,3,,"Feb 8, 2015 | 9:33 AM",,GRENKE Classic 5: Carlsen climbs as Anand falls,https://chess24.com/en/read/news/grenke-classic-5-carlsen-climbs-as-anand-falls
Colin McGourty,category,3,,"Feb 9, 2015 | 12:13 AM",,GRENKE Classic 6: Anand grabs his first win,https://chess24.com/en/read/news/grenke-classic-6-anand-grabs-his-first-win
Colin McGourty,category,15,,"Feb 6, 2015 | 11:41 PM",,GRENKE Classic 4: Anand cracks under pressure,https://chess24.com/en/read/news/grenke-classic-4-anand-cracks-under-pressure
Colin McGourty,category,16,,"Feb 10, 2015 | 12:31 AM",,GRENKE Classic: Carlsen wins Armageddon,https://chess24.com/en/read/news/grenke-classic-carlsen-wins-armageddon
Ilja Zaragatski,category,0,,"Feb 10, 2015 | 6:00 PM",,GRENKE Classic highlights by GM Ilja Zaragatski,https://chess24.com/en/read/news/tournament-hightlights-from-grenke-chess-classic-with-gm-ilja-zaragatski
Colin McGourty,category,9,,"Feb 13, 2015 | 4:41 PM",,Zurich Chess Challenge - Aronian wins blitz!,https://chess24.com/en/read/news/2015-zurich-chess-challenge-about-to-start
Colin McGourty,category,4,,"Feb 10, 2015 | 8:19 PM",,GRENKE Chess Classic 2015: Final wrap-up,https://chess24.com/en/read/news/grenke-chess-classic-2015-final-wrap-up
chess24 staff,category,12,,"Feb 11, 2015 | 7:34 PM",,Battle of the chess generations,https://chess24.com/en/read/news/battle-of-the-chess-generations
David Martínez,category,5,,"Feb 15, 2015 | 10:58 AM",,Grand Prix in Tbilisi Preview,https://chess24.com/en/read/news/grand-prix-tbilisi-preview
David Martínez,category,1,,"Feb 16, 2015 | 1:44 PM",,Zürich Round 2: Anand's fearsome preparation,https://chess24.com/en/read/news/zurich-2-anand-preparation
chess24 staff,category,1,,"Feb 15, 2015 | 2:40 PM",,Zürich Round 1: Nakamura on the (counter)attack!,https://chess24.com/en/read/news/zurich-1-nakamura-on-the-counterattack
David Martínez,category,0,,"Feb 16, 2015 | 10:44 AM",,Grand Prix Tbilisi Round 1: Black is fine,https://chess24.com/en/read/news/gp-tbilisi-1-black-is-fine
David Martínez,category,1,,"Feb 17, 2015 | 1:47 PM",,Zürich Round 3: Nakamura surpasses 2800 as the sole leader,https://chess24.com/en/read/news/zurich-3-nakamura-surpasses-2800-as-sole-leader
David Martínez,category,1,,"Feb 17, 2015 | 12:42 PM",,Grand Prix Tbilisi Round 2: Chess in the 21st century,https://chess24.com/en/read/news/grand-prix-tbilisi-2-chess-in-the-21st-century
David Martínez,category,3,,"Feb 18, 2015 | 10:59 AM",,Grand Prix Tbilisi Round 3: Tomashevsky in the limelight,https://chess24.com/en/read/news/grand-prix-tbilisi-round-3-tomashevsky-in-the-limelight
David Martínez,category,6,,"Feb 18, 2015 | 12:56 PM",,Zürich Round 4: Anand overtakes Nakamura,https://chess24.com/en/read/news/zuerich-round-4-anand-overtakes-nakamura
David Martínez,category,1,,"Feb 20, 2015 | 11:18 AM",,Grand Prix Tbilisi Round 4: Tomashevsky means business,https://chess24.com/en/read/news/grand-prix-tbilisi-round-4-tomashevsky-means-business
David Martínez,category,23,,"Feb 20, 2015 | 12:45 PM",,Hikaru Nakamura (barely) wins the Zürich Chess Challenge,https://chess24.com/en/read/news/hikaru-nakamura-wins-the-zuerich-chess-challenge
David Martínez,category,1,,"Feb 19, 2015 | 11:15 AM",,Zürich Round 5: Anand classical winner,https://chess24.com/en/read/news/zuerich-round-5-anand-leader-before-the-rapid-games
chess24 staff,category,5,,"Feb 20, 2015 | 10:30 PM",,Memory lapses and elite synapses,https://chess24.com/en/read/news/the-usual-memory-problems
David Martínez,category,0,,"Feb 22, 2015 | 2:26 PM",,Grand Prix Tbilisi Rounds 5 & 6: Interesting Days,https://chess24.com/en/read/news/gp-tbilisi-5-6-interesting-days
chess24 staff,category,6,,"Feb 21, 2015 | 3:03 PM",,"Korchnoi vs. Uhlmann, two legends in Zürich",https://chess24.com/en/read/news/korchnoi-uhlmann-two-legends-in-zuerich
chess24 staff,category,30,,"Feb 24, 2015 | 12:24 PM",,Happy Birthday to chess24,https://chess24.com/en/read/news/chess24-happy-first-birthday
chess24 staff,category,13,,"Feb 24, 2015 | 4:14 PM",,Premium analysis: We annotate your games!,https://chess24.com/en/read/news/premium-analysis-we-analyse-your-games
David Martínez,category,1,,"Feb 24, 2015 | 10:00 PM",,Grand Prix Tbilisi Round 7 and 8: Tomashevsky marches on,https://chess24.com/en/read/news/gp-tbilisi-7-and-8-tomashevsky-marches-on
David Martínez,category,2,,"Feb 27, 2015 | 10:14 AM",,Tbilisi Grand Prix Rounds 9 & 10: Tomashevsky unstoppable,https://chess24.com/en/read/news/gp-tbilisi-9-10-tomashevsky-unstoppable
David Martínez,category,12,,"Feb 26, 2015 | 7:12 PM",,GM Jan Gustafsson vs Premium Users,https://chess24.com/en/read/news/gm-jan-gustafsson-vs-premium-users
David Martínez,category,1,,"Feb 25, 2015 | 12:55 PM",,The European Championship begins,https://chess24.com/en/read/news/eicc2015-R1
chess24 staff,category,2,,"Feb 28, 2015 | 2:30 PM",,Monday Euro lunch tournament (with prizes!),https://chess24.com/en/read/news/monday-lunch-tournament
David Martínez,category,13,,"Mar 1, 2015 | 10:20 PM",,Who can win the FIDE Grand Prix?,https://chess24.com/en/read/news/who-can-win-the-fide-gp
David Martínez,category,1,,"Mar 2, 2015 | 1:20 PM",,European Championships: Korobov leader at halfway point,https://chess24.com/en/read/news/Korobov-leader-at-halfway-point
chess24 staff,category,8,,"Mar 1, 2015 | 2:56 PM",,Play against GM Niclas Huschenbeth,https://chess24.com/en/read/news/play-against-gm-niclas-huschenbeth
David Martínez,category,1,,"Mar 4, 2015 | 12:25 PM",,European Championship 7: Huge logjam at the top,https://chess24.com/en/read/news/european-championship-7-huge-log-jam-at-the-top
chess24 staff,category,65,,"Mar 5, 2015 | 1:03 PM",,Jan's Opening Clinic,https://chess24.com/en/read/news/jan-s-opening-clinic
chess24 staff,category,17,,"Mar 4, 2015 | 7:36 PM",,Trent's Banter Blitz plus Q&A,https://chess24.com/en/read/news/trent-qa-plus-banter-blitz
chess24 staff,category,1,,"Mar 8, 2015 | 7:29 PM",,Monday Euro lunch tournament (take two!),https://chess24.com/en/read/news/monday-euro-lunch-tournament-take-two
David Martínez,category,6,,"Mar 8, 2015 | 10:52 AM",,European Championship 10: Move of the year?,https://chess24.com/en/read/news/european-championship-10-move-of-the-year
chess24 staff,category,2,,"Mar 8, 2015 | 6:38 PM",,Huschenbeth's massive Banter Blitz,https://chess24.com/en/read/news/huschenbeth-s-massive-banter-blitz
David Martínez,category,3,,"Mar 6, 2015 | 10:53 AM",,European Championship 8 & 9: Navara downs Nepo ,https://chess24.com/en/read/news/european-championship-8-9-navara-downs-nepo
Colin McGourty,category,6,,"Mar 11, 2015 | 1:24 PM",,On Karpov-Kasparov and Carlsen’s missing rival,https://chess24.com/en/read/news/on-karpov-kasparov-and-carlsen-s-missing-rival
chess24 staff,category,12,,"Mar 7, 2015 | 10:51 PM",,Yet another draw…,https://chess24.com/en/read/news/yet-another-draw
David Martínez,category,5,,"Mar 9, 2015 | 7:10 PM",,Learning from our mistakes,https://chess24.com/en/read/news/learning-from-our-mistakes
David Martínez,category,0,,"Mar 10, 2015 | 9:01 AM",,Najer is European Champion,https://chess24.com/en/read/news/najer-is-european-champion
David Martínez,category,0,,"Mar 10, 2015 | 3:31 PM",,Did Korchnoi inspire the move of the year?,https://chess24.com/en/read/news/did-korchnoi-inspire-the-move-of-the-year
chess24 staff,category,33,,"Mar 10, 2015 | 6:02 PM",,Jan's Opening Clinic 2,https://chess24.com/en/read/news/jan-s-opening-clinic-2
chess24 staff,category,15,,"Mar 12, 2015 | 1:39 PM",,Live Banter Blitz with… Peter Svidler,https://chess24.com/en/read/news/live-banter-blitz-with-peter-svidler
Colin McGourty,category,12,,"Mar 15, 2015 | 12:54 PM",,Anand: “Chess is richer than ever before” (updated!),https://chess24.com/en/read/news/anand-chess-is-richer-than-ever-before
David Martínez,category,2,,"Mar 14, 2015 | 1:32 PM",,Reykjavik Open: Mamedyarov races to 5/5,https://chess24.com/en/read/news/reykjavik-open-mamedyarov-races-to-5-5
David Martínez,category,6,,"Mar 16, 2015 | 2:35 PM",,Women's Chess World Championship preview,https://chess24.com/en/read/news/women-s-chess-world-championship-preview
David Martínez,category,3,,"Mar 13, 2015 | 9:44 AM",,Learning from our mistakes (2),https://chess24.com/en/read/news/learning-from-our-mistakes-2
Colin McGourty,category,2,,"Mar 17, 2015 | 1:46 PM",,When are Carlsen and co. back in action?,https://chess24.com/en/read/news/when-are-carlsen-and-co-back-in-action
chess24 staff,category,42,,"Mar 17, 2015 | 6:12 PM",,Jan's Opening Clinic 3,https://chess24.com/en/read/news/jan-s-opening-clinic-3
chess24 staff,category,2,,"Mar 19, 2015 | 7:53 AM",,Erwin l'Ami conquers Reykjavik,https://chess24.com/en/read/news/erwin-l-ami-conquers-reykjavik
Colin McGourty,category,16,,"Mar 21, 2015 | 5:12 PM",,The Daily Show on US efforts to recruit Caruana,https://chess24.com/en/read/news/the-daily-show-on-us-efforts-to-recruit-caruana
David Martínez,category,10,,"Mar 19, 2015 | 2:13 PM",,"Women's WCh 1: Comebacks, nerves & playoffs!",https://chess24.com/en/read/news/women-s-wch-1-comebacks-nerves-playoffs
David Martínez,category,2,,"Mar 20, 2015 | 2:46 PM",,Women’s WCh R1 playoffs: Armageddon & disaster,https://chess24.com/en/read/news/women-s-wch-r1-playoffs-armageddon-disaster
chess24 staff,category,3,,"Mar 23, 2015 | 10:12 AM",,Women’s WCh R2: Zero tolerance and Chinese woes,https://chess24.com/en/read/news/women-s-wch-r2-zero-tolerance-and-chinese-woes
David Martínez,category,1,,"Mar 24, 2015 | 4:47 PM",,Women's WCh R3.1: Russian debacle,https://chess24.com/en/read/news/women-s-wch-r3-1-russian-debacle
David Martínez,category,1,,"Mar 25, 2015 | 1:17 PM",,Women's WCh R3.2: Positional warfare,https://chess24.com/en/read/news/women-s-wch-r3-2-positional-warfare
David Martínez,category,2,,"Mar 26, 2015 | 8:34 AM",,Women's WCh R3.3: Day of the underdog,https://chess24.com/en/read/news/women-s-wch-r3-3-day-of-the-underdog
chess24 staff,category,33,,"Mar 26, 2015 | 7:03 PM",,Jan's Opening Clinic 4,https://chess24.com/en/read/news/jan-s-opening-clinic-4
chess24 staff,category,2,,"Mar 29, 2015 | 5:40 PM",,Women’s WCh 1/4 finals: Top seed toppled,https://chess24.com/en/read/news/women-s-wch-1-4-finals-top-seed-toppled
Colin McGourty,category,0,,"Mar 28, 2015 | 12:52 PM",,Piorun's lightning start at Polish Championship,https://chess24.com/en/read/news/piorun-s-lightning-start-at-polish-championship
Macauley Peterson,category,13,,"Mar 29, 2015 | 10:15 PM",,What's new in Spring,https://chess24.com/en/read/news/new-on-chess24-spring-2015
Colin McGourty,category,4,,"Mar 31, 2015 | 1:45 AM",,US captain speaks out on New York Times article (updated),https://chess24.com/en/read/news/us-captain-speaks-out-on-new-york-times-article
David Martínez,category,0,,"Apr 2, 2015 | 12:00 PM",,Women's WCh: Muzychuk or Pogonina?,https://chess24.com/en/read/news/women-s-wch-muzychuk-or-pogonina
chess24 staff,category,25,,"Apr 1, 2015 | 9:30 PM",,Jan's Endgame Clinic,https://chess24.com/en/read/news/jan-s-endgame-clinic
David Martínez,category,1,,"Mar 31, 2015 | 11:45 AM",,"Women's WCh 1/2 finals: Class, grit & resilience",https://chess24.com/en/read/news/women-s-wch-1-2-finals-class-grit-resilience
Colin McGourty,category,2,,"Apr 2, 2015 | 6:03 PM",,US Champs: Nakamura and So off to winning starts,https://chess24.com/en/read/news/us-champs-nakamura-and-so-off-to-winning-starts
Colin McGourty,category,10,,"Apr 3, 2015 | 1:21 PM",,US Champs R2: Nakamura is world no. 2,https://chess24.com/en/read/news/us-champs-r2-nakamura-is-world-no-2
Colin McGourty,category,3,,"Apr 4, 2015 | 12:51 PM",,US Champs R3: 14-year-old Sevian shocks So,https://chess24.com/en/read/news/us-champs-r3-14-year-old-sam-sevian-shocks-wesley-so
Colin McGourty,category,1,,"Apr 5, 2015 | 3:40 PM",,Easter chess bonanza,https://chess24.com/en/read/news/easter-chess-bonanza
Colin McGourty,category,1,,"Apr 7, 2015 | 9:31 AM",,"US Champs R5: Nakamura, So and Kamsky all win",https://chess24.com/en/read/news/us-champs-r5-nakamura-so-and-kamsky-all-win
Colin McGourty,category,17,,"Apr 5, 2015 | 11:58 PM",,"John Nunn on maths, chess, computers and Lasker",https://chess24.com/en/read/news/john-nunn-on-maths-chess-computers-and-lasker
Colin McGourty,category,0,,"Apr 8, 2015 | 6:37 PM",,US Champs R6: Nakamura leads as So cracks,https://chess24.com/en/read/news/us-champs-r6-nakamura-leads-as-so-cracks
Colin McGourty,category,12,,"Apr 7, 2015 | 11:17 PM",,Kasparov and Short to meet again,https://chess24.com/en/read/news/kasparov-and-short-to-meet-again
Colin McGourty,category,2,,"Apr 9, 2015 | 4:09 PM",,"US Champs 7: Robson catches Nakamura, So close",https://chess24.com/en/read/news/us-champs-7-robson-catches-nakamura-so-close
Colin McGourty,category,3,,"Apr 10, 2015 | 2:51 PM",,US Champs R8: Nakamura on top as So struggles,https://chess24.com/en/read/news/us-champs-r8-nakamura-on-top-as-so-struggles
Colin McGourty,category,26,,"Apr 11, 2015 | 12:07 PM",,US Champs R9: So forfeited amid family turmoil,https://chess24.com/en/read/news/us-champs-r9-so-forfeited-amid-family-turmoil
Colin McGourty,category,58,,"Apr 12, 2015 | 1:14 PM",,Another player forfeits and a cheater is caught,https://chess24.com/en/read/news/wesley-so-another-forfeit-and-a-cheater-caught
Colin McGourty,category,10,,"Apr 13, 2015 | 11:03 AM",,Nakamura and Krush are 2015 US Champions,https://chess24.com/en/read/news/nakamura-and-krush-are-2015-us-champions
chess24 staff,category,8,,"Apr 15, 2015 | 12:00 AM",,"Interview with ""Le Tournoi"" director Elodie Namer",https://chess24.com/en/read/news/interview-with-le-tournoi-director-elodie-namer
Colin McGourty,category,1,,"Apr 14, 2015 | 4:20 PM",,Nigel Short crashes to defeat in Thai Open,https://chess24.com/en/read/news/nigel-short-crashes-to-defeat-in-thai-open
chess24 staff,category,5,,"Apr 16, 2015 | 12:23 PM",,Banter Blitz April 16 & 17,https://chess24.com/en/read/news/banter-blitz-april-16-17
Colin McGourty,category,9,,"Apr 17, 2015 | 12:03 AM",,Gashimov Memorial opens with Anand-Carlsen,https://chess24.com/en/read/news/gashimov-memorial-opens-with-anand-carlsen
Colin McGourty,category,11,,"Apr 17, 2015 | 8:50 PM",,Shamkir R1: So & Kramnik lead as Carlsen escapes,https://chess24.com/en/read/news/shamkir-2015-r1-so-kramnik-lead-as-carlsen-escapes
Colin McGourty,category,5,,"Apr 18, 2015 | 6:34 PM",,Shamkir R2: Magnus makes it look easy,https://chess24.com/en/read/news/shamkir-2015-r2-magnus-makes-it-look-easy
Colin McGourty,category,0,,"Apr 20, 2015 | 9:00 AM",,World Teams 1: Champions fall on day of upsets,https://chess24.com/en/read/news/world-teams-1-champions-fall-on-day-of-upsets
Colin McGourty,category,4,,"Apr 19, 2015 | 8:11 PM",,Shamkir R3: Carlsen shows who's boss,https://chess24.com/en/read/news/shamkir-r3-carlsen-shows-who-s-boss
Colin McGourty,category,14,,"Apr 20, 2015 | 8:54 PM",,Shamkir R4: Wesley So breaks clear as rivals draw,https://chess24.com/en/read/news/shamkir-r4-wesley-so-breaks-clear-as-rivals-draw
Colin McGourty,category,9,,"Apr 21, 2015 | 10:34 PM",,Shamkir R5: Carlsen leads after feast of chess,https://chess24.com/en/read/news/shamkir-r5-carlsen-leads-after-feast-of-chess
Tarjei Svensen,category,65,,"Apr 22, 2015 | 4:56 PM",,Nigel Short and Susan Polgar at war,https://chess24.com/en/read/news/nigel-short-and-susan-polgar-at-war
Colin McGourty,category,6,,"Apr 23, 2015 | 8:22 PM",,Shamkir R6: Caruana saves the day,https://chess24.com/en/read/news/shamkir-r6-caruana-saves-the-day
Colin McGourty,category,49,,"Apr 24, 2015 | 1:45 PM",,Grand Chess Tour launched! (update),https://chess24.com/en/read/news/a-new-era-in-chess-begins-today
Colin McGourty,category,2,,"Apr 25, 2015 | 12:05 AM",,Shamkir R7: Carlsen puts the boot in,https://chess24.com/en/read/news/shamkir-r7-carlsen-puts-the-boot-in
Colin McGourty,category,5,,"Apr 26, 2015 | 8:48 AM",,Shamkir R8: Anand rolls back the years,https://chess24.com/en/read/news/shamkir-r8-anand-rolls-back-the-years
David Martínez,category,24,,"Apr 27, 2015 | 11:09 AM",,Kasparov-Short: The St. Louis Massacre,https://chess24.com/en/read/news/kasparov-short-the-st-louis-massacre
chess24 staff,category,36,,"Apr 28, 2015 | 5:04 PM",,Q&A with Robin van Kampen,https://chess24.com/en/read/news/q-a-with-robin-van-kampen
Colin McGourty,category,21,,"Apr 28, 2015 | 7:38 AM",,Shamkir Chess 2015: Winners and losers,https://chess24.com/en/read/news/shamkir-chess-2015-winners-and-losers
Colin McGourty,category,3,,"May 1, 2015 | 11:59 AM",,Chess May Day,https://chess24.com/en/read/news/chess-may-day
David Martínez,category,5,,"Apr 30, 2015 | 8:43 AM",,"China, again. Hello, domination!",https://chess24.com/en/read/news/china-win-the-world-team-championship
Tarjei Svensen,category,24,,"May 2, 2015 | 6:16 PM",,"Carlsen: ""I can stay at the top for another 20 years""",https://chess24.com/en/read/news/carlsen-i-can-stay-at-the-top-for-another-20-years
Colin McGourty,category,0,,"May 3, 2015 | 11:21 AM",,Mamedov: “The loss to Carlsen did me good”,https://chess24.com/en/read/news/mamedov-the-loss-to-carlsen-did-me-good
David Martínez,category,13,,"May 5, 2015 | 8:05 AM",,Reflections on chess openings (1),https://chess24.com/en/read/news/reflections-on-chess-opening-1
chess24 staff,category,22,,"May 6, 2015 | 3:37 PM",,How I became a cheater,https://chess24.com/en/read/news/how-i-became-a-cheater
Colin McGourty,category,4,,"May 4, 2015 | 11:15 AM",,Russian Teams 1-3: Kramnik’s agony and ecstasy,https://chess24.com/en/read/news/russian-teams-1-3-kramnik-s-agony-and-ecstasy
Colin McGourty,category,4,,"May 5, 2015 | 4:22 PM",,Kasparov: “Opponents were somehow secondary”,https://chess24.com/en/read/news/kasparov-opponents-were-somehow-secondary
Macauley Peterson,category,32,,"May 7, 2015 | 10:18 AM",,Miss Strategy & Miss Tactics Banter Blitz and Q&A,https://chess24.com/en/read/news/miss-strategy-miss-tactics-banter-blitz-and-q-a
Colin McGourty,category,8,,"May 7, 2015 | 10:22 PM",,Russian Teams 4-7: Siberia power to victory,https://chess24.com/en/read/news/russian-teams-4-7-siberia-power-to-victory
chess24 staff,category,21,,"May 10, 2015 | 12:02 PM",,Know your enemy: Blunders and the brain,https://chess24.com/en/read/news/know-your-enemy-blunders-and-the-brain
Colin McGourty,category,11,,"May 11, 2015 | 4:29 PM",,Carlsen commentates on pre-Norway Chess battle,https://chess24.com/en/read/news/carlsen-commentates-on-pre-norway-chess-battle
Colin McGourty,category,16,,"May 12, 2015 | 7:15 PM",,Caruana moves back to the USA,https://chess24.com/en/read/news/caruana-moves-back-to-the-usa
Colin McGourty,category,6,,"May 13, 2015 | 6:48 PM",,Grand Prixview: What’s at stake in Khanty?,https://chess24.com/en/read/news/grand-prixview-what-s-at-stake-in-khanty
Colin McGourty,category,3,,"May 14, 2015 | 9:26 PM",,"Khanty GP, Round 1: Tomashevsky, again",https://chess24.com/en/read/news/khanty-gp-round-1-tomashevsky-again
Colin McGourty,category,0,,"May 16, 2015 | 11:04 AM",,"Khanty GP, Round 2: Unpredictable!",https://chess24.com/en/read/news/khanty-gp-round-2-unpredictable
Colin McGourty,category,1,,"May 16, 2015 | 8:13 PM",,"Khanty GP, Round 3: Caruana takes command",https://chess24.com/en/read/news/khanty-gp-round-3-caruana-takes-command
Colin McGourty,category,2,,"May 15, 2015 | 1:33 PM",,6th Blitz Marathon to rock Rabat,https://chess24.com/en/read/news/6th-blitz-marathon-to-rock-rabat
Colin McGourty,category,6,,"May 18, 2015 | 12:57 PM",,Top 5 YouTube chess videos,https://chess24.com/en/read/news/top-5-youtube-chess-videos
Colin McGourty,category,0,,"May 17, 2015 | 9:19 PM",,"Khanty GP, Round 4: Fabiano out in front",https://chess24.com/en/read/news/khanty-gp-round-4-caruana-wins-again
Colin McGourty,category,10,,"May 18, 2015 | 3:09 PM",,Kamsky: “Life shouldn’t only be about chess”,https://chess24.com/en/read/news/kamsky-life-shouldn-t-only-be-about-chess
chess24 staff,category,33,,"May 21, 2015 | 4:27 PM",,Jan's Opening Clinic 5,https://chess24.com/en/read/news/jan-s-opening-clinic-5
Colin McGourty,category,4,,"May 19, 2015 | 11:10 PM",,"Khanty GP, Round 5: Dress codes and other shocks",https://chess24.com/en/read/news/khanty-gp-round-5-dress-codes-and-other-shocks
Colin McGourty,category,0,,"May 21, 2015 | 1:12 PM",,"Khanty GP, Round 6: Reservoir Dogs",https://chess24.com/en/read/news/khanty-gp-round-6-reservoir-dogs
Colin McGourty,category,5,,"May 23, 2015 | 1:39 PM",,Khanty GP: Nakamura joins the leading pack,https://chess24.com/en/read/news/khanty-gp-nakamura-joins-the-leading-pack
Colin McGourty,category,24,,"May 24, 2015 | 2:44 PM",,"Carlsen plays ""The Wire"" star in blindfold simul",https://chess24.com/en/read/news/carlsen-plays-the-wire-star-in-blindfold-simul
Colin McGourty,category,9,,"May 25, 2015 | 9:10 PM",,"Khanty GP, Round 10: Jakovenko sets up showdown",https://chess24.com/en/read/news/khanty-gp-round-10-jakovenko-sets-up-showdown
Colin McGourty,category,6,,"May 25, 2015 | 8:51 AM",,"Khanty GP, Round 9: A tale of two stalemates",https://chess24.com/en/read/news/khanty-gp-round-9-a-tale-of-two-stalemates
Colin McGourty,category,17,,"May 26, 2015 | 8:40 PM",,"Khanty GP, Rd 11: Caruana & Nakamura!",https://chess24.com/en/read/news/khanty-gp-rd-11-caruana-nakamura
Colin McGourty,category,17,,"May 28, 2015 | 10:26 AM",,Bobby Fischer movie Pawn Sacrifice trailer released,https://chess24.com/en/read/news/bobby-fischer-movie-pawn-sacrifice-trailer-released
Colin McGourty,category,18,,"May 27, 2015 | 11:36 AM",,2015 Chess Calendar,https://chess24.com/en/read/news/2015-chess-calendar
Colin McGourty,category,81,,"May 29, 2015 | 1:06 PM",,Cheating at the European Women's Championship?,https://chess24.com/en/read/news/cheating-at-european-women-s-championship
David Martínez,category,2,,"May 28, 2015 | 4:49 PM",,Sandro Mareco defeats a continent,https://chess24.com/en/read/news/sandro-mareco-defeats-a-continent
Colin McGourty,category,11,,"May 31, 2015 | 9:54 AM",,MVL finally gets a win in the French Top 12,https://chess24.com/en/read/news/mvl-finally-gets-a-win-in-the-french-top-12
Colin McGourty,category,10,,"Jun 1, 2015 | 5:27 PM",,Carlsen: “I make a move & I really don’t know why”,https://chess24.com/en/read/news/carlsen-i-make-a-move-i-really-don-t-know-why
David Martínez,category,19,,"Jun 2, 2015 | 12:50 PM",,Wei Yi vs Magnus Carlsen,https://chess24.com/en/read/news/wei-yi-vs-magnus-carlsen
Colin McGourty,category,5,,"Jun 3, 2015 | 3:02 PM",,"Hits & Misses: French Top 12, Rounds 2-4",https://chess24.com/en/read/news/hits-misses-french-top-12-rounds-2-4
Colin McGourty,category,8,,"Jun 4, 2015 | 11:46 AM",,Jakovenko on how to beat Carlsen,https://chess24.com/en/read/news/jakovenko-on-how-to-beat-carlsen
